HGNC_symbol	gene_name	mito_process	gene_function	chr	obsolete_HGNC_symbol	HGNC_ID	HGNC_name	ENSG_ID	ENSG_name	NCBI_GeneID	NCBI_name
AADAT	aminoadipate aminotransferase	Amino Acid Metabolism	Shows activity also towards tryptophan, aspartate and hydroxykinurenine	4	KAT2, KATII, KYAT2	HGNC:17929	AADAT	ENSG00000109576	AADAT	51166	AADAT
AASS	aminoadipate-semialdehyde synthase	Amino Acid Metabolism	Bifunctional enzyme that catalyzes the first two steps in lysine degradation. The N-terminal and the C-terminal contain lysine-ketoglutarate reductase and saccharopine dehydrogenase activity, respectively	7	LKR/SDH, LKRSDH, LORSDH	HGNC:17366	AASS	ENSG00000008311	AASS	10157	AASS
ABAT	4-aminobutyrate aminotransferase	Amino Acid Metabolism	Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine	16	GABA-AT, GABAT, NPD009	HGNC:23	ABAT	ENSG00000183044	ABAT	18	ABAT
ABHD10	abhydrolase domain containing 10	Amino Acid Metabolism	This gene encodes a mitochondrially-localized enzyme that acts in liver cells as a hydrolase. The encoded protein removes glucuronide from mycophenolic acid acyl-glucuronide. There is a pseudogene for this gene on chromosome 6. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2013],	3		HGNC:25656	ABHD10	ENSG00000144827	ABHD10	55347	ABHD10
ABHD11	abhydrolase domain containing 11	Amino Acid Metabolism	This gene encodes a protein containing an alpha/beta hydrolase fold domain. This gene is deleted in Williams syndrome, a multisystem developmental disorder caused by the deletion of contiguous genes at 7q11.23. [provided by RefSeq, Mar 2016],	7	PP1226, WBSCR21	HGNC:16407	ABHD11	ENSG00000106077	ABHD11	83451	ABHD11
ABHD16A	abhydrolase domain containing 16A	Amino Acid Metabolism	A cluster of genes, BAT1-BAT5, has been localized in the vicinity of the genes for tumor necrosis factor alpha and tumor necrosis factor beta. These genes are all within the human major histocompatibility complex class III region. The protein encoded by this gene is thought to be involved in some aspects of immunity. Alternatively spliced transcript variants have been described. [provided by RefSeq, Apr 2010],	6	BAT5, D6S82E, NG26, PP199	HGNC:13921	ABHD16A	ENSG00000204427	ABHD16A	7920	ABHD16A
ACAT1	acetyl-CoA acetyltransferase 1	Amino Acid Metabolism	Plays a major role in ketone body metabolism	11	ACAT, MAT, T2, THIL	HGNC:93	ACAT1	ENSG00000075239	ACAT1	38	ACAT1
ADO	2-aminoethanethiol dioxygenase	Amino Acid Metabolism	"Human thiol dioxygenases include cysteine dioxygenase (CDO; MIM 603943) and cysteamine (2-aminoethanethiol) dioxygenase (ADO; EC 1.13.11.19). CDO adds 2 oxygen atoms to free cysteine, whereas ADO adds 2 oxygen atoms to free cysteamine to form hypotaurine (Dominy et al 2007 [PubMed 17581819]).[supplied by OMIM, Mar 2008],"	10	C10orf22	HGNC:23506	ADO	ENSG00000181915	ADO	84890	ADO
AGMAT	agmatinase	Amino Acid Metabolism	"catalytic activity:Agmatine + H(2)O = putrescine + ureacofactor:Manganese pathway:Amine and polyamine biosynthesis; putrescine biosynthesis via agmatine pathway; putrescine from agmatine (ADC route): step 1/1similarity:Belongs to the arginase family. Agmatinase subfamilytissue specificity:Highly expressed in liver and kidney. Also found in skeletal muscle, fetal liver, brain, testis, skin and the gastrointestinal tract"	1		HGNC:18407	AGMAT	ENSG00000116771	AGMAT	79814	AGMAT
AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	Amino Acid Metabolism	"Description: catalyzes the transamination of L-serine and pyruvate to 3-hydroxpyruvate and L-alanine; catalyzes the transamination of L-alanine and glyoxylate to pyruvate and glycine,"	2	AGT, AGT11, PH1, SPAT, SPT, TLH6, AGXT	HGNC:341	AGXT	ENSG00000172482	AGXT	189	AGXT
